B_scale,algorithm,shd_mean,shd_std,cpdag_shd_mean,mec_rate,f1_mean,epochs_mean,runtime_mean
0.1,CD_A,29.2,3.6331804249169894,47.2,0.0,0.0,199.0,6.012538519920781
0.1,CD_BOmega,29.4,11.349008767288886,22.0,0.0,0.5168327584145656,199.0,74.7782119799871
0.5,CD_A,15.6,6.6558245169174945,17.4,0.0,0.7081013205279232,199.0,7.5602677200455215
0.5,CD_BOmega,27.6,19.32097306038182,41.2,0.0,0.6592721212335262,199.0,69.1746895799879
1.0,CD_A,34.6,11.844830095868831,57.8,0.0,0.5042291252120933,199.0,9.315292679984122
1.0,CD_BOmega,22.4,6.4265076052238514,44.0,0.0,0.6890649662217018,199.0,73.8164229000453
2.0,CD_A,42.8,13.845576911057192,71.2,0.0,0.41452594354002803,308.8,17.06723102000542
2.0,CD_BOmega,46.6,34.202339101295394,197.4,0.0,0.5754030748872936,351.0,141.2896328399889
5.0,CD_A,47.6,17.558473737771173,114.0,0.0,0.3855362544682933,436.4,25.180027299979702
5.0,CD_BOmega,88.8,30.523761236125537,632.8,0.0,0.3849946190227553,500.0,193.75728413993494
