standardize,algorithm,trials,cpdag_shd_mean,cpdag_shd_std,shd_mean,shd_std,sk_p_mean,sk_p_std,sk_r_mean,sk_r_std,n_edges_est_mean,n_edges_true_mean,runtime_sec_mean
False,CALM,5,11.6,6.58027355054484,16.4,5.319774431308154,0.9262458195399372,0.04146023846655783,0.984,0.021908902300206676,53.2,50.0,1977.2589353199583
False,GOLEM-NV-l1,5,71.4,4.774934554525329,73.2,3.193743884534263,0.45426542437305895,0.02958287449555638,0.44800000000000006,0.030331501776206193,49.4,50.0,55.15219879997894
False,NOTEARS,5,8.4,3.9749213828703582,7.8,3.7013511046643495,0.9270397904371851,0.04718740645268193,0.992,0.010954451150103333,53.6,50.0,492.5593775600661
False,PC,5,2.6,2.5099800796022267,,,0.988156862745098,0.01081244103796823,0.984,0.016733200530681527,65.0,50.0,4.855923980008811
False,FGES,5,4.2,2.04939015319192,,,0.9475627960644608,0.026400250228250172,1.0,0.0,65.6,50.0,4.085121660027653
False,cd_A,5,35.6,4.39317652729776,37.8,3.563705936241093,0.7020086580086581,0.01747933266266948,0.788,0.04147288270665545,56.2,50.0,665.1835683399811
False,cd_A_weakfaith,5,13.2,3.0331501776206204,12.4,3.9115214431215892,0.95068654128318,0.02278393819272598,0.924,0.04774934554525326,48.6,50.0,650.00178398001
True,CALM,5,4.6,4.722287581247038,8.6,4.33589667773576,0.9769053049376499,0.024662448948899903,0.992,0.017888543819998333,50.8,50.0,1614.7420106999575
True,GOLEM-NV-l1,5,61.0,7.7781745930520225,61.6,5.366563145999496,0.5369642857142857,0.046042133197069963,0.6479999999999999,0.059329587896765304,60.4,50.0,54.64602636001073
True,NOTEARS,5,42.2,5.805170109479997,38.2,6.099180272790763,0.8110908566116384,0.04692002280955744,0.736,0.04560701700396555,45.4,50.0,481.1265840599779
True,PC,5,2.6,2.5099800796022267,,,0.988156862745098,0.01081244103796823,0.984,0.016733200530681527,65.0,50.0,4.041854220023379
True,FGES,5,4.2,2.04939015319192,,,0.9475627960644608,0.026400250228250172,1.0,0.0,65.6,50.0,3.9977563199587167
True,cd_A,5,46.8,10.232301793829187,48.0,7.615773105863909,0.6522577686045178,0.09133962437939279,0.6639999999999999,0.03577708763999661,51.4,50.0,655.8400525999721
True,cd_A_weakfaith,5,22.2,9.757048734120374,23.8,6.220932405998316,0.9014348014876626,0.04298833031776397,0.844,0.051768716422179124,46.8,50.0,651.9993839799893
