shd,n,score_mean,score_std,true_score_mean,score_gap_true_mean,score_gap_true_std,mec_rate
0,1,52.05176489794466,,59.08439686836745,-7.032631970422791,,1.0
6,2,52.74800505161056,0.9869614940287359,59.08439686836745,-6.3363918167568904,0.9869614940287335,0.0
7,1,52.15928147629659,,59.08439686836745,-6.9251153920708575,,0.0
8,2,52.71288694172338,0.10747137054227726,59.08439686836745,-6.371509926644066,0.10747137054227726,0.0
9,5,52.2244189191191,0.15408003324172564,59.08439686836745,-6.859977949248348,0.1540800332417267,0.0
10,9,52.3617192354051,0.3113841959534087,59.08439686836745,-6.722677632962356,0.3113841959534088,0.0
11,2,52.30768778966406,0.21015324117546824,59.08439686836745,-6.776709078703391,0.21015324117546824,0.0
12,7,52.46064264427806,0.16358685269477363,59.08439686836745,-6.6237542240893825,0.16358685269477333,0.0
13,3,52.242495129062746,0.09478951072623018,59.084396868367456,-6.841901739304703,0.09478951072623018,0.0
14,6,52.60524166167061,0.2674631637194701,59.084396868367456,-6.479155206696839,0.2674631637194697,0.0
15,6,52.54254915390877,0.22862199149425172,59.084396868367456,-6.54184771445867,0.22862199149425183,0.0
16,5,52.76771331644677,0.569085728881825,59.08439686836745,-6.31668355192068,0.5690857288818245,0.0
17,5,52.4291796461535,0.29302245938200705,59.08439686836745,-6.655217222213952,0.2930224593820081,0.0
18,5,52.46384810991575,0.14239880976923547,59.08439686836745,-6.620548758451699,0.14239880976923677,0.0
19,3,52.735324702410345,0.4384227815367665,59.084396868367456,-6.349072165957101,0.4384227815367659,0.0
20,4,52.5604884662073,0.2579705320118044,59.08439686836745,-6.523908402160144,0.25797053201180437,0.0
21,4,52.846007158356485,0.5725516127403916,59.08439686836745,-6.23838971001096,0.572551612740392,0.0
22,7,52.66060675209459,0.34231904266622804,59.08439686836745,-6.423790116272861,0.3423190426662266,0.0
23,4,52.95954723381756,0.5632744968326665,59.08439686836745,-6.1248496345498875,0.5632744968326668,0.0
24,3,53.21838536209979,0.8272986345340557,59.084396868367456,-5.866011506267658,0.8272986345340567,0.0
25,2,53.12918800499076,0.41171581561261406,59.08439686836745,-5.95520886337669,0.41171581561261406,0.0
26,1,52.765252417553505,,59.08439686836745,-6.319144450813944,,0.0
27,7,53.07437345149059,0.6974805283246311,59.08439686836745,-6.010023416876868,0.6974805283246329,0.0
28,1,53.18442218682735,,59.08439686836745,-5.899974681540101,,0.0
29,3,52.547288066930044,0.3558203906158868,59.084396868367456,-6.537108801437401,0.3558203906158835,0.0
30,2,53.32770311379987,0.5490844183823156,59.08439686836745,-5.756693754567575,0.549084418382313,0.0
