trial_id,data_seed,algorithm,history_len,graph_history_len,full_run_runtime_sec,final_objective,final_edges
1,218858081,CD_A,300000,300000,118.89887750009075,54.62651522661359,31
1,218858081,CD_A_epoch,646,300390,97.14009499992244,54.72152710985171,31
2,457189129,CD_A,300000,300000,123.98569880006835,57.344979752407795,53
2,457189129,CD_A_epoch,646,300390,98.9192699000705,56.22050799372931,40
3,312377554,CD_A,300000,300000,123.01776640000753,56.16852009347948,40
3,312377554,CD_A_epoch,646,300390,98.21130149997771,58.14289741955447,39
4,56581769,CD_A,300000,300000,120.13578539993614,58.997595780737484,31
4,56581769,CD_A_epoch,646,300390,98.78572960011661,57.63278036537943,40
5,514544373,CD_A,300000,300000,120.80054640001617,54.51441921652937,41
5,514544373,CD_A_epoch,646,300390,98.20013120002113,54.84440137429482,33
