d,algorithm,score_start_mean,score_end_mean,score_delta_mean,score_rel_change_mean
5,cd_A,36569.58702373339,10.87333299418744,-36558.7136907392,-0.9997026673288071
5,golem,31.021663665771484,22.5697021484375,-8.451961517333984,-0.27245352178385557
6,cd_A,108295.75043944387,73.36409037563983,-108222.38634906823,-0.9993225579944001
6,golem,41.25829315185547,26.1080265045166,-15.150266647338867,-0.36720536624179667
7,cd_A,5617.885596604814,13.240209166689073,-5604.645387438125,-0.9976432042021839
7,golem,46.407508850097656,30.32155418395996,-16.085954666137695,-0.34662396376623217
8,cd_A,374642.1494780544,110.06366625047939,-374532.0858118039,-0.9997062165418285
8,golem,54.1888427734375,34.75821304321289,-19.43062973022461,-0.3585725166980099
9,cd_A,341522.7207515836,77.85525899988015,-341444.8654925837,-0.9997720349064082
9,golem,61.04670333862305,39.29975509643555,-21.7469482421875,-0.35623460486568614
11,cd_A,99200.64098996331,236.0668855824177,-98964.5741043809,-0.9976203088687068
11,golem,68.06227111816406,48.053062438964844,-20.00920867919922,-0.29398385258788384
13,cd_A,1779583.37468977,2886.0205783570427,-1776697.3541114128,-0.9983782605415381
13,golem,90.80149841308594,58.48506164550781,-32.316436767578125,-0.3559020206974961
15,cd_A,1940725.0679864034,5904.86121871048,-1934820.206767693,-0.9969573942666505
15,golem,92.48682403564453,66.22216796875,-26.26465606689453,-0.2839826790546059
20,cd_A,1172401.0480579208,1391.485560422156,-1171009.5624974987,-0.9988131317668753
20,golem,126.88267517089844,90.16300201416016,-36.71967315673828,-0.2893986362384007
