algorithm,mec_match_mean,exact_match_mean,cpdag_shd_mean,cpdag_shd_std,runtime_sec_mean
cd_A_l0_0.0,0.53,0.51,1.08,1.5549205052920803,5.597589295002108
cd_A_l0_0.1,0.61,0.59,0.98,1.5240827677092483,2.1548140389999024
cd_A_l0_0.2,0.56,0.56,1.13,1.6058919293927871,2.1380095630002325
cd_BOmega_l0_0.0,0.54,0.53,1.39,2.0245712852080286,1.40910198000347
cd_BOmega_l0_0.1,0.52,0.52,1.21,1.6036259419254113,1.2783078449990717
cd_BOmega_l0_0.2,0.51,0.51,1.25,1.622910466981584,1.254553978999611
cd_B_l0_0.0,0.43,0.39,1.67,2.141721199635867,13.807026787001233
cd_B_l0_0.1,0.49,0.49,1.27,1.6008520458578526,1.1843667939997977
cd_B_l0_0.2,0.49,0.49,1.27,1.5818094740268855,1.1514609219977865
ges,0.55,0.17,0.0,0.0,0.07009039600059623
golem_ev,0.6,0.59,0.69,1.220158956360965,27.255253503998976
golem_nv,0.27,0.05,2.44,2.332553982399567,53.79884728199802
sp,0.7,0.35,0.95,1.6166744767071581,0.021097119997430126
